|   k |   d | log2(u) |  tries |  succ prob | avg runtime (s) | atk type 1 | atk type 2 | atk type 3 |
|   2 |   7 |      32 |    200 |        1.0 |            0.02 |  197 / 197 |      3 / 3 |      0 / 0 |
|   2 |  15 |      32 |    200 |        1.0 |            0.02 |  197 / 197 |      3 / 3 |      0 / 0 |
|   2 |  23 |      32 |    200 |        1.0 |            0.02 |  199 / 199 |      1 / 1 |      0 / 0 |
|   2 |  31 |      32 |    200 |        1.0 |            0.02 |  200 / 200 |      0 / 0 |      0 / 0 |
|   2 |   7 |      64 |    200 |        1.0 |            0.02 |  199 / 199 |      1 / 1 |      0 / 0 |
|   2 |  15 |      64 |    200 |        1.0 |            0.02 |  200 / 200 |      0 / 0 |      0 / 0 |
|   2 |  23 |      64 |    200 |        1.0 |            0.02 |  200 / 200 |      0 / 0 |      0 / 0 |
|   2 |  31 |      64 |    200 |        1.0 |            0.02 |  198 / 198 |      2 / 2 |      0 / 0 |
|   3 |   7 |      32 |    200 |        1.0 |            0.03 |  198 / 198 |      2 / 2 |      0 / 0 |
|   3 |  15 |      32 |    200 |        1.0 |            0.03 |  196 / 196 |      4 / 4 |      0 / 0 |
|   3 |  23 |      32 |    200 |        1.0 |            0.03 |  199 / 199 |      1 / 1 |      0 / 0 |
|   3 |  31 |      32 |    200 |        1.0 |            0.03 |  197 / 197 |      3 / 3 |      0 / 0 |
|   3 |   7 |      64 |    200 |        1.0 |            0.03 |  199 / 199 |      1 / 1 |      0 / 0 |
|   3 |  15 |      64 |    200 |        1.0 |            0.03 |  197 / 197 |      3 / 3 |      0 / 0 |
|   3 |  23 |      64 |    200 |        1.0 |            0.03 |  197 / 197 |      2 / 2 |      1 / 1 |
|   3 |  31 |      64 |    200 |        1.0 |            0.03 |  200 / 200 |      0 / 0 |      0 / 0 |
|  10 |  40 |      64 |     20 |        1.0 |            0.67 |    20 / 20 |      0 / 0 |      0 / 0 |
|  15 |  40 |      64 |     20 |        1.0 |            2.51 |    20 / 20 |      0 / 0 |      0 / 0 |
|  20 |  40 |      64 |     20 |        1.0 |            6.92 |    20 / 20 |      0 / 0 |      0 / 0 |
|  24 |  40 |      64 |     20 |        1.0 |           12.93 |    20 / 20 |      0 / 0 |      0 / 0 |
| 100 |  40 |      64 |      2 |        1.0 |         4527.11 |      2 / 2 |      0 / 0 |      0 / 0 |
